Class Name,Objects,Shallow Heap,
kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedPropertyDescriptor,260,33280,
com.siyeh.ig.callMatcher.CallMatcher$Simple,1039,33248,
com.intellij.util.io.PersistentHashMapValueStorage,415,33200,
java.nio.channels.SelectionKey[],13,33016,
com.intellij.idea.IdeaLogger,2059,32944,
com.intellij.psi.impl.source.SubstrateRef$StubRef,2059,32944,
com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue,1353,32472,
org.codehaus.groovy.util.FastArray,1352,32448,
io.opentelemetry.sdk.metrics.internal.data.AutoValue_ImmutableLongPointData,675,32400,
com.intellij.psi.impl.source.PsiMethodImpl,1011,32352,
sun.awt.image.IntegerInterleavedRaster,311,32344,
kotlin.reflect.jvm.internal.impl.types.KotlinTypeFactory$$Lambda$0,1009,32288,
sun.reflect.generics.tree.ClassTypeSignature,2013,32208,
kotlinx.coroutines.flow.internal.ChannelFlow$collect$2,668,32064,
java.lang.ThreadLocal$SuppliedThreadLocal,1333,31992,
java.util.LinkedHashMap$LinkedKeySet,1323,31752,
com.intellij.platform.buildData.productInfo.ProductInfoLayoutItem,1313,31512,
sun.awt.image.ByteInterleavedRaster,260,31200,
org.codehaus.groovy.ast.ClassNode$MapOfLists,1950,31200,
java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter,1948,31168,
java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock,1948,31168,
java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock,1946,31136,
java.util.WeakHashMap,648,31104,
org.codehaus.groovy.util.ComplexKeyHashMap$Entry[],209,30992,
com.intellij.openapi.module.impl.scopes.SdkScopeDescriptor,966,30912,
com.intellij.ui.components.JBScrollPane,71,30672,
com.intellij.openapi.util.registry.RegistryKeyBean,957,30624,
kotlinx.coroutines.channels.ProducerCoroutine,957,30624,
com.intellij.openapi.util.registry.RegistryKeyDescriptor,956,30592,
com.intellij.lang.LanguageExtensionPoint,763,30520,
jdk.jfr.AnnotationElement,1266,30384,
com.fasterxml.jackson.databind.introspect.AnnotatedField,949,30368,
kotlinx.coroutines.flow.FlowKt__DelayKt$debounceInternal$1,542,30352,
com.intellij.util.containers.ConcurrentSoftValueHashMap$MySoftReference,756,30240,
com.intellij.psi.impl.compiled.ClsMethodImpl$$Lambda+0x000000a004557710,1887,30192,
com.intellij.util.containers.DisposableWrapperList$DisposableWrapper,942,30144,
com.intellij.serialization.stateProperties.ObjectStoredProperty,1250,30000,
com.intellij.codeInsight.intention.IntentionActionBean,535,29960,
com.intellij.util.io.PersistentHashMapValueStorage$MyCompressedAppendableFile,415,29880,
java.awt.Dimension,1242,29808,
kotlin.reflect.jvm.internal.impl.types.TypeSubstitutor,1856,29696,
com.intellij.platform.plugins.parser.impl.elements.ActionElement$ActionElementGroup,927,29664,
jdk.jfr.internal.AnnotationConstruct,1235,29640,
org.jdom.Attribute[],1115,29296,
java.lang.reflect.Type[],1195,29280,
com.intellij.openapi.actionSystem.impl.MyLazyValue,1218,29232,
com.intellij.ui.icons.ScaledIconCache,1819,29104,
kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$JvmMethodSignature,726,29040,
org.codehaus.groovy.ast.expr.ConstantExpression,515,28840,
kotlin.reflect.jvm.internal.impl.resolve.scopes.SubstitutingScope,888,28416,
kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument,709,28360,
com.intellij.psi.impl.java.stubs.impl.PsiJavaFileStubImpl,506,28336,
