Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x7800255d0  Pacific/Niue,24,56,
java.lang.String @ 0x780025628  GMT0,24,48,
java.lang.String @ 0x780025678  America/Maceio,24,56,
java.lang.String @ 0x7800256d0  Etc/UCT,24,48,
java.lang.String @ 0x780025720  Pacific/Apia,24,56,
java.lang.String @ 0x780025778  Atlantic/Faroe,24,56,
java.lang.String @ 0x7800257d0  Mexico/BajaNorte,24,56,
java.lang.String @ 0x780025828  Africa/Accra,24,56,
java.lang.String @ 0x780025880  America/North_Dakota/Beulah,24,72,
java.lang.String @ 0x7800258e8  America/Santiago,24,56,
java.lang.String @ 0x780025940  America/Argentina/San_Luis,24,72,
java.lang.String @ 0x7800259a8  Asia/Damascus,24,56,
java.lang.String @ 0x780025a00  America/Indiana/Indianapolis,24,72,
java.lang.String @ 0x780025a68  US/Mountain,24,56,
java.lang.String @ 0x780025ac0  Antarctica/Rothera,24,64,
java.lang.String @ 0x780025b20  America/Halifax,24,56,
java.lang.String @ 0x780025b78  Chile/EasterIsland,24,64,
java.lang.String @ 0x780025bd8  America/Anchorage,24,64,
java.lang.String @ 0x780025c38  America/Chihuahua,24,64,
java.lang.String @ 0x780025c98  America/Ojinaga,24,56,
java.lang.String @ 0x780025cf0  Asia/Hovd,24,56,
java.lang.String @ 0x780025d48  Africa/Douala,24,56,
java.lang.String @ 0x780025da0  SystemV/YST9,24,56,
java.lang.String @ 0x780025df8  Pacific/Saipan,24,56,
java.lang.String @ 0x780025e50  America/Tijuana,24,56,
java.lang.String @ 0x780025ea8  America/Indiana/Tell_City,24,72,
java.lang.String @ 0x780025f10  Europe/San_Marino,24,64,
java.lang.String @ 0x780025f70  Asia/Baghdad,24,56,
java.lang.String @ 0x780025fc8  America/Cayman,24,56,
java.lang.String @ 0x780026020  Asia/Ulaanbaatar,24,56,
java.lang.String @ 0x780028510  /Users/sameervhatkar/.m2/repository/org/springframework/boot/spring-boot-starter-logging/3.5.16/spring-boot-starter-logging-3.5.16.jar,24,176,
java.lang.String @ 0x78002eae8  America/North_Dakota/Center,24,72,
java.lang.String @ 0x78002eb50  America/Aruba,24,56,
java.lang.String @ 0x78002eba8  Brazil/West,24,56,
java.lang.String @ 0x78002ec00  Africa/El_Aaiun,24,56,
java.lang.String @ 0x78002ec58  Africa/Ouagadougou,24,64,
java.lang.String @ 0x78002ecb8  America/Coral_Harbour,24,64,
java.lang.String @ 0x78002ed18  Pacific/Marquesas,24,64,
java.lang.String @ 0x78002ed78  America/Kentucky/Monticello,24,72,
java.lang.String @ 0x78002ede0  Zulu,24,48,
java.lang.String @ 0x78002ee30  America/Creston,24,56,
java.lang.String @ 0x78002ee88  America/Punta_Arenas,24,64,
java.lang.String @ 0x78002eee8  America/Indiana/Marengo,24,64,
java.lang.String @ 0x78002ef48  Asia/Ashkhabad,24,56,
java.lang.String @ 0x78002efa0  Etc/Zulu,24,48,
java.lang.String @ 0x78002eff0  Brazil/DeNoronha,24,56,
java.lang.String @ 0x78002f048  Europe/Uzhgorod,24,56,
java.lang.String @ 0x78002f0a0  Asia/Yangon,24,56,
java.lang.String @ 0x78002f0f8  Africa/Addis_Ababa,24,64,
