Class Name,Shallow Heap,Retained Heap,
byte[114] @ 0x788805698  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;Ljava/lang/Object;)Ljava/lang/invoke/BoundMethodHandle;,136,136,
byte[93] @ 0x788805880  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,112,112,
byte[97] @ 0x788805908  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;I)Ljava/lang/invoke/BoundMethodHandle;,120,120,
byte[97] @ 0x788805998  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;J)Ljava/lang/invoke/BoundMethodHandle;,120,120,
byte[97] @ 0x788805a28  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;F)Ljava/lang/invoke/BoundMethodHandle;,120,120,
byte[97] @ 0x788805ab8  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;D)Ljava/lang/invoke/BoundMethodHandle;,120,120,
byte[96] @ 0x788805b48  (Ljava/lang/invoke/MethodType;Ljava/lang/invoke/LambdaForm;)Ljava/lang/invoke/BoundMethodHandle;,112,112,
byte[75] @ 0x788805bd0  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;I)Ljava/lang/Object;,96,96,
byte[12] @ 0x7888060a0  invokeStatic,32,32,
byte[93] @ 0x7888060d8  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;I)Ljava/lang/Object;,112,112,
byte[104] @ 0x788806160  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/invoke/MemberName;)Ljava/lang/Object;,120,120,
byte[5] @ 0x788806318  argL0,24,24,
byte[5] @ 0x788806428  argI1,24,24,
byte[22] @ 0x788806bb8  (Ljava/lang/Object;I)I,40,40,
byte[13] @ 0x788807178  invokeSpecial,32,32,
byte[76] @ 0x7888071b0  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;I)V,96,96,
byte[87] @ 0x788807228  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;ILjava/lang/invoke/MemberName;)V,104,104,
byte[40] @ 0x788807408  (Ljava/lang/Object;Ljava/lang/Object;I)V,56,56,
